hashtag_id	hashtag
0	0globuli
1	0mg
2	0zapftis
3	100000mark
4	1000dankefuerdieunterstuetzung
5	1000jahregerdinnerpartei
6	1000kreuze
7	1000moeglichkeiten
8	1000thx
9	1001rampe
10	100cosassobremi
11	100fuergrundeinkommen
12	100gr
13	100grundeinkommen
14	100m
15	100mbit
16	100personen
17	100prozent
18	100prozentfuerhh
19	100prozentsozial
20	100stunden
21	100stundencountdown
22	100stundenwahlka
23	100t
24	100t100b
25	100tage
26	100tage100orte
27	1046rtl
28	108e
29	10eurowahlpraemie
30	10jahrejungundsommersprossen
31	10tage
32	10tage10verbote
33	10thbirthday
34	110md
35	111gruende
36	11freunde
37	11smx
38	12c
39	12octantifa
40	12oder3
41	12oktober
42	12v12
43	12von12
44	1337mate
45	13august
46	13principles
47	13tage
48	13tefee
49	140zeichen
50	14tage
51	14votes
52	150jahre
53	150jahrespd
54	150mrd
55	150plakate
56	150spd
57	150xneinklicken
58	15jahre
59	15min
60	15pi
61	15pira
62	15piraten
63	15tage
64	16laendern
65	16tage
66	17agustos
67	17c3
68	17tage
69	18o
70	18tage
71	18wahl
72	18wp
73	1984_ist_obsolet
74	1984day
75	1984isnow
76	1984now
77	198piraten
78	19feb
79	19o
80	19p
81	19piraten
82	19tage
83	1gegen1
84	1live
85	1live0210
86	1mai
87	1mal1
88	1millionstrong
89	1mio
90	1smx
91	1stundepolitikfrei
92	1stworldproblems
93	1tag
94	1und1
95	1x1
96	1year
97	1yearonmars
98	1zu1
99	200gruende
100	200tage
101	2013endra
102	20h09
103	20minuten
104	20mio
105	20p
106	20pi
107	20pir
108	20pira
109	20pirat
110	20piraten
111	20sgr
112	20tage
113	21hnonmention
114	21pir
115	21piraten
116	21sept
117	21tage
118	22milliarden
119	22sep13
120	22tage
121	22uhr10nonmention
122	22uhrnonmention
123	230v
124	23andme
125	23innrw
126	23tage
127	247wahlkampf
128	24h
129	24hoursae
130	24hrsae
131	24hschatzischicht
132	24htag
133	24stundenschatzischicht
134	25jahre
135	25piraten
136	25tage
137	26c3
138	26tage
139	27j
140	27jber
141	27jberlin
142	27jstralsund
143	28c3
144	28dayslatertweet
145	28tage
146	29gruene
147	2bl
148	2fliegen
149	2komma3
150	2liga
151	2minuten
152	2rg
153	2tage
