transaction_id	user_id_mentioner	user_id_mentionee
3	96	756
4	413	756
9	37	856
32	821	748
43	426	709
48	872	986
56	2	246
58	341	246
61	2	246
64	2	246
85	1004	212
93	198	435
97	948	850
103	406	792
104	923	792
111	156	228
124	156	228
134	635	761
144	635	761
146	635	761
155	635	761
160	962	3
164	828	514
166	208	792
167	219	792
168	301	792
169	709	792
170	728	792
202	401	244
275	317	792
276	589	792
317	424	792
330	96	756
336	96	756
346	424	792
375	821	748
379	929	748
382	13	748
384	487	748
393	493	748
401	395	41
403	156	228
414	828	514
437	156	228
461	962	3
474	493	748
479	493	748
484	807	3
485	962	3
491	857	41
496	635	761
497	813	761
500	813	761
501	916	761
510	41	41
511	176	41
513	658	41
514	955	41
523	916	761
526	80	80
536	80	80
539	1004	709
546	59	856
557	316	709
559	1004	709
563	1042	709
567	494	761
578	1042	709
582	780	761
588	212	792
589	920	792
590	156	228
601	828	514
606	828	514
616	1042	709
620	212	792
639	828	514
653	441	514
669	858	228
670	952	228
672	441	514
674	441	514
678	441	514
683	345	850
684	850	850
687	441	514
692	858	228
695	441	514
699	441	514
702	59	856
706	413	514
707	441	514
722	80	80
724	635	80
730	635	80
736	59	856
762	112	41
764	966	41
765	1023	41
771	96	756
779	780	761
786	780	761
815	1042	709
824	780	761
857	59	856
860	413	514
886	709	842
901	780	761
917	59	856
919	59	856
946	400	324
950	400	324
958	413	514
964	780	761
965	352	324
973	352	324
976	352	324
980	352	324
983	352	324
988	914	324
992	733	842
1002	212	792
1005	39	41
1006	129	41
1013	962	41
1016	780	761
1027	544	842
1029	3	857
1030	447	857
1033	93	857
1044	780	761
1046	821	857
1057	493	748
1064	493	748
1066	923	748
1071	1004	748
1079	544	842
1086	96	756
1097	293	761
1100	293	761
1106	293	761
1108	293	761
1110	128	761
1114	48	842
1118	212	792
1120	96	756
1123	1042	709
1129	48	842
1166	128	873
1167	429	873
1190	807	3
1194	128	873
1208	858	228
1214	212	792
1221	858	228
1228	858	228
1247	807	3
1250	856	20
1258	1042	709
1262	635	80
1263	780	80
1264	916	80
1270	858	228
1274	858	228
1284	96	756
1285	579	756
1292	780	80
1298	1004	748
1312	59	856
1320	579	756
1336	212	792
1338	848	842
1340	968	842
1343	864	748
1347	709	748
1359	338	857
1372	37	857
1377	128	761
1382	37	857
1392	13	857
1393	37	857
1394	59	857
1409	13	857
1413	968	842
1437	13	857
1445	1042	709
1446	617	842
1456	617	842
1457	699	842
1463	393	842
1470	1023	842
1499	709	748
1505	1023	842
1511	807	3
1542	427	748
1543	709	748
1544	259	748
1546	577	748
1553	579	756
1556	522	748
1557	856	748
1561	212	792
1564	858	228
1579	96	514
1580	413	514
1583	856	514
1585	96	514
1620	1010	237
1636	761	972
1637	944	972
1643	194	972
1644	244	972
1651	654	37
1662	780	80
1663	59	856
1668	780	80
1683	293	80
1689	293	80
1692	901	748
1699	857	80
1710	857	80
1714	1042	709
1729	120	80
1737	2	80
1790	2	80
1801	96	514
1804	733	514
1806	579	756
1808	579	756
1811	944	514
1812	244	514
1820	858	228
1825	244	514
1836	579	514
1840	579	514
1844	579	514
1848	579	514
1854	579	514
1864	579	514
1869	48	514
1876	128	873
1884	190	873
1885	395	873
1888	292	131
1890	292	131
1892	292	131
1898	858	228
1900	48	514
1903	298	873
1908	298	873
1915	298	873
1919	48	514
1920	352	514
1923	292	131
1944	212	792
1945	989	792
1950	260	514
1952	914	514
1963	9	792
1965	227	792
1980	9	792
1994	935	237
1998	131	237
1999	244	237
2000	378	237
2004	131	237
2013	916	514
2025	2	80
2046	856	20
2059	1023	842
2062	13	857
2067	1023	842
2068	2	80
2074	191	80
2094	17	80
2096	191	80
2099	519	80
2100	536	80
2104	237	80
2106	536	80
2108	654	157
2109	758	80
2110	972	80
2124	448	748
2128	110	157
2131	493	857
2135	579	756
2154	654	37
2161	579	756
2171	493	857
2178	110	157
2185	1010	857
2199	923	201
2201	110	157
2205	864	201
2206	923	201
2208	110	157
2212	579	756
2214	1010	857
2216	1010	857
2219	579	756
2221	705	857
2225	1023	842
2228	889	856
2234	212	201
2235	424	201
2237	858	201
2238	864	201
2256	270	857
2272	1042	709
2277	1042	709
2289	9	792
2293	1042	709
2300	2	246
2312	110	157
2315	110	157
2320	914	324
2327	110	157
2336	110	157
2339	720	842
2352	110	157
2357	110	157
2360	128	761
2390	48	756
2427	1042	709
2439	858	228
2444	916	514
2445	13	178
2459	858	228
2462	780	514
2471	948	842
2496	290	856
2497	806	856
2521	448	748
2522	544	748
2548	544	748
2551	699	792
2565	358	792
2575	1004	212
2612	130	792
2614	290	856
2615	337	792
2617	337	792
