transaction_id	user_id_retweeter	user_id_retweetee
10	48	20
44	712	37
57	13	37
62	13	37
65	13	37
113	747	317
126	747	317
158	73	929
164	828	659
405	747	317
412	447	659
414	828	659
439	252	317
460	807	929
486	997	929
527	698	1028
534	24	1028
537	103	37
548	212	20
558	432	37
562	540	37
577	706	37
592	252	317
599	447	659
604	447	659
614	195	37
637	272	659
652	272	659
668	252	317
671	272	659
676	536	659
680	536	659
686	214	659
689	536	659
690	46	317
693	244	659
694	392	659
698	3	659
704	687	20
705	59	659
720	24	1028
723	594	1028
725	666	1028
729	533	1028
738	190	20
739	687	20
813	176	955
856	46	20
859	352	659
862	764	659
916	46	20
921	691	20
945	26	487
952	1004	487
960	579	659
967	1004	487
975	1004	487
977	977	487
981	977	487
984	977	487
987	747	487
1122	623	955
1188	112	929
1207	327	317
1209	939	317
1220	327	317
1225	22	317
1227	238	317
1229	983	317
1246	552	929
1248	579	840
1256	110	955
1260	533	1028
1261	616	1028
1269	238	317
1273	525	317
1290	367	1028
1291	616	1028
1314	691	20
1443	37	955
1512	911	929
1563	525	317
1582	519	659
1584	1038	659
1587	534	659
1634	299	239
1645	299	239
1650	493	228
1661	367	1028
1665	204	20
1667	367	1028
1684	367	1028
1690	367	1028
1698	423	1028
1700	921	1028
1711	921	1028
1712	37	955
1730	339	1028
1739	79	1028
1792	748	325
1800	48	659
1802	131	659
1810	687	659
1814	687	659
1818	402	317
1819	525	317
1827	704	659
1837	704	659
1841	704	659
1845	806	659
1849	806	659
1852	46	659
1862	46	659
1868	46	659
1897	715	317
1901	89	659
1918	17	659
1922	1023	659
1948	40	659
1949	128	659
2012	514	659
2027	748	325
2044	156	840
2070	748	325
2075	748	325
2097	223	325
2098	235	325
2101	748	325
2103	223	325
2105	458	325
2107	611	325
2153	493	228
2179	722	325
2180	988	325
2202	424	325
2203	988	325
2209	424	325
2210	1017	325
2227	204	20
2270	37	955
2274	37	955
2276	769	955
2292	769	955
2301	13	37
2313	1017	325
2316	1017	325
2319	252	487
2321	939	487
2328	1017	325
2337	923	325
2338	1017	325
2353	923	325
2358	435	325
2425	114	955
2438	715	317
2442	2	659
2447	624	470
2458	715	317
2460	441	659
2495	204	20
2614	290	20
2656	810	325
2659	114	955
2667	911	929
2670	114	955
2674	522	955
2680	731	955
2689	290	20
2748	257	20
2750	847	20
2757	17	20
2759	257	20
2803	176	916
2816	715	317
2855	227	325
2856	525	325
2857	1004	325
2877	218	325
2893	429	20
2904	658	20
2948	658	20
2969	658	20
2986	731	955
2987	1010	955
3010	370	955
3013	491	955
3018	491	955
3038	491	955
3060	218	325
3071	886	659
3087	493	228
3090	493	228
3112	218	325
3139	715	317
3171	176	916
3186	109	659
3187	112	659
3193	857	659
3194	886	659
3205	493	228
3206	523	228
3279	239	916
3300	239	916
3326	239	916
3337	523	228
3402	13	37
3407	658	20
3419	624	470
3443	523	228
3491	523	228
3499	491	955
3501	228	955
3503	491	955
3507	228	955
3511	110	916
3521	1023	20
3524	37	916
3525	110	916
3528	61	20
3530	178	20
3532	858	20
3533	395	659
3539	236	659
3540	395	659
3603	218	325
3610	715	317
3618	715	317
3620	920	317
3628	977	840
3638	920	317
3647	920	317
3658	455	325
3659	720	325
3674	37	916
3676	235	916
3701	426	426
3702	458	426
3705	709	426
3714	38	228
3723	693	228
3732	200	20
3750	435	426
3753	46	840
3755	131	840
3763	693	228
3766	920	317
3769	693	228
3773	299	228
3774	117	20
3776	400	20
3781	920	317
3788	46	840
3792	889	840
3797	555	317
3798	920	317
3804	720	325
3808	555	317
3812	555	317
3859	555	317
3862	2	20
3891	555	317
3927	1004	449
3943	299	228
3959	1004	449
3990	270	916
3991	374	916
3992	681	916
3996	236	659
4008	681	916
4013	236	659
4019	236	659
4025	299	228
4028	13	955
4029	119	955
4040	299	228
4046	299	228
4081	889	840
4083	299	228
4097	119	955
4106	555	317
4117	780	228
4143	681	916
4144	916	916
4151	1004	449
4160	358	325
4165	435	426
4178	916	916
4202	1004	449
4205	916	916
4212	2	20
4225	916	916
4226	406	659
4229	814	659
4234	555	317
4245	555	317
4248	555	317
4260	449	426
4262	1004	426
4265	2	20
4272	2	20
4277	780	228
4282	555	317
4291	93	228
4297	555	317
4299	93	228
4309	358	325
4310	517	325
4322	555	317
4328	555	317
4334	968	325
4342	119	955
4347	119	955
4351	119	955
4355	119	955
4359	93	228
4368	119	955
4372	428	20
4377	523	955
4389	1004	449
4394	298	659
4428	330	325
4430	637	325
4438	637	325
4443	936	659
4468	136	659
4472	935	659
4475	327	487
4487	865	659
4490	327	487
4503	523	955
4507	428	20
4510	523	955
4526	299	955
4561	555	317
4586	983	487
4596	780	955
4625	780	955
4645	77	659
4670	916	916
4695	522	916
4697	916	916
4707	93	228
4771	522	916
4822	637	325
4826	1042	840
4830	731	916
4836	637	325
4838	429	840
4868	268	317
4870	555	317
4877	268	317
4938	268	317
4940	721	317
4943	93	228
4949	721	317
4952	93	228
4971	456	659
4975	431	317
4976	721	317
4984	637	325
5027	297	325
5028	637	325
5034	297	325
5035	158	426
5036	230	426
5037	328	426
5040	976	426
5045	93	228
5054	297	325
5077	93	228
5099	431	317
5106	431	317
5113	93	228
5119	803	317
5123	803	317
5152	731	916
5160	803	317
5179	803	317
5185	429	840
5186	658	840
5204	780	955
5209	780	955
5226	761	20
5233	397	659
5236	756	659
5248	13	37
5252	441	20
5261	432	659
5264	432	659
5284	297	325
5304	88	317
5306	803	317
5309	447	955
5311	828	955
5332	1004	449
5367	93	228
5369	1000	228
5425	144	920
5427	426	920
5466	1010	916
5472	1010	916
5479	1010	916
5484	297	325
5520	88	317
5522	642	317
5530	828	228
5534	642	317
5548	447	228
5549	828	228
5561	642	317
5582	607	659
5600	297	325
5616	144	178
5625	144	178
5695	250	325
5702	447	955
5703	703	955
5705	272	955
5744	329	178
5798	123	317
5802	214	955
5816	658	840
5853	329	178
5866	123	317
5871	329	178
5875	329	178
5891	329	178
5906	435	955
5913	435	955
5926	117	840
5928	494	840
5929	658	840
5931	813	840
5958	1010	916
5991	374	920
6002	1010	916
6008	228	916
6016	329	178
6025	209	955
6029	821	955
6030	209	955
6041	7	228
6044	447	228
6046	13	916
6048	493	916
6056	272	228
6057	703	228
6058	329	178
6062	329	178
6069	329	178
6073	329	178
6077	329	178
6080	329	178
6085	329	178
6089	329	178
6094	329	178
6098	329	178
6102	329	178
6106	110	178
6109	110	178
6113	654	178
6116	654	178
6120	654	178
6127	654	178
6139	37	178
6201	428	840
6204	886	840
6207	272	228
6209	87	228
6212	952	228
6216	952	228
6261	209	955
6271	209	955
6279	250	325
6286	250	325
6290	493	916
6293	493	916
6335	523	916
6342	161	955
6343	209	955
6347	551	955
6348	1005	955
6378	952	228
6401	123	317
6408	123	317
6419	123	317
6438	123	317
6501	441	20
6503	73	20
6506	441	20
6508	886	20
6557	123	317
6572	38	916
6584	38	916
6640	123	317
6655	38	916
6661	374	920
6678	38	916
6754	37	178
6758	37	178
6785	161	955
6802	38	916
6804	299	916
6811	780	916
6818	9	840
6820	673	840
6861	828	916
6869	470	317
6871	998	317
6874	599	317
6883	37	178
6887	37	178
6891	599	317
6897	828	916
6938	551	228
6944	37	178
6947	709	178
6948	731	178
6967	161	955
7000	109	20
7003	807	20
7032	731	178
7035	3	955
7037	124	955
7039	941	955
7041	9	20
7044	798	20
7047	156	955
7052	156	955
7064	815	955
7071	112	840
7074	370	178
7076	1010	178
7077	28	840
7094	519	955
7095	534	955
7099	370	178
7141	534	955
7146	131	955
7148	534	955
7152	328	317
7153	330	317
7158	857	20
7166	48	955
7177	250	325
7189	112	20
7210	250	325
7230	112	20
7239	552	20
7252	48	955
7326	13	37
7360	491	178
7364	491	178
7373	552	840
7386	260	20
7395	293	20
7397	873	20
7402	13	178
7406	13	178
7409	13	178
7413	13	178
7417	13	37
7420	13	178
7426	13	37
7436	13	178
7442	293	20
7542	48	955
7544	212	955
7548	760	955
7550	190	955
7552	806	955
7556	691	955
7560	691	955
7567	691	955
7606	691	955
7640	828	916
7661	236	20
7716	828	916
7729	290	955
7751	236	20
7829	321	317
7831	903	317
7833	321	317
7847	158	317
7849	321	317
7862	933	317
7867	374	920
7869	709	920
7879	487	317
7886	236	20
7890	487	317
7909	487	317
7911	976	317
7925	130	317
7928	778	317
7929	842	317
7939	445	317
7975	445	317
8006	828	916
8044	559	920
8097	828	916
8107	13	178
8124	236	20
8140	559	920
8172	230	317
8211	792	317
8212	906	317
8228	13	178
8287	516	840
8289	873	840
8340	447	916
8388	429	955
8454	49	317
8455	172	317
8458	891	317
8464	172	317
8472	493	178
8486	723	840
8489	392	228
8502	172	317
8539	600	317
8540	897	317
8552	493	178
8559	523	178
8562	550	317
8565	550	317
8566	854	317
8567	974	317
8583	854	317
8587	735	325
8589	898	325
8593	277	317
8594	853	317
8611	277	317
8612	905	317
8633	515	317
8663	429	955
8686	236	840
8706	141	840
8707	236	840
8708	375	840
8765	523	178
8766	693	178
8793	77	840
8795	403	840
8797	937	840
8835	693	178
8844	986	317
8866	735	325
8930	429	955
8934	858	955
8937	858	955
8941	858	955
8948	858	955
8979	7	916
8982	447	916
8993	703	916
9023	536	916
9024	703	916
9061	374	500
9062	682	317
9066	86	500
9067	119	500
9075	308	840
9097	424	500
9099	1012	500
9108	449	500
9123	1004	500
9129	464	500
9134	252	500
9195	327	500
9196	500	500
9202	238	500
9203	525	500
9215	920	500
9234	431	500
9235	721	500
9243	803	500
9246	88	500
9248	264	500
9252	393	500
9294	236	20
9299	87	916
9307	393	500
9317	693	178
9337	998	500
9343	470	500
9350	330	500
9351	976	500
