transaction_id	hashtag_id
0	13587
1	22197
2	1231
2	15234
2	17076
2	19495
2	21055
5	7441
6	4083
7	2849
7	3450
8	6711
11	16310
12	12503
13	17076
14	14159
15	20636
16	7504
17	18764
18	2699
19	9321
20	1542
21	835
22	13757
22	16310
23	18083
24	4081
25	4083
26	19702
27	1143
27	9004
27	19072
28	2462
29	21781
30	17076
30	21055
30	22268
31	13757
33	2544
33	16310
34	4437
34	4589
34	16481
34	21270
35	21994
36	12929
37	14418
38	2164
39	18328
40	18328
41	14013
42	4891
45	12332
46	803
46	805
47	2692
49	3081
50	6879
51	19615
52	3469
53	8695
54	20328
55	9710
59	2836
59	17076
60	534
63	11074
63	14451
66	11074
66	14451
67	6864
67	17076
68	22968
69	12966
70	666
70	14841
71	14841
72	17206
73	8429
74	13757
74	17243
75	3469
76	17208
77	11103
78	17206
79	16552
80	22452
81	7106
81	17261
81	24702
82	1768
83	21188
84	6522
84	11177
84	19033
86	16310
87	13587
87	15234
87	17076
88	16310
89	14199
89	15086
90	3469
91	3605
91	13587
91	17076
92	21571
94	6394
95	10616
96	3305
98	2544
98	3676
98	16310
99	6307
99	19021
99	24203
99	24283
100	15234
100	17076
101	17076
101	19483
101	21873
102	16310
105	7998
105	19219
105	20637
106	3244
106	8429
107	16206
108	4013
108	12349
109	3591
110	4013
110	12349
112	1857
114	6030
114	12182
115	4261
116	5086
116	14666
117	3196
117	5995
117	12080
117	15234
117	17076
117	22197
118	6963
118	19209
119	22268
120	22268
121	5086
121	14666
122	4261
123	2164
123	16310
123	24033
125	2705
125	6879
125	11844
127	18328
128	15234
128	22197
129	18328
130	6030
130	12182
131	18328
132	12687
132	16749
133	6960
135	7728
135	9999
135	16793
135	17076
135	21873
136	2692
136	4002
136	7242
136	13587
136	15234
136	16310
136	20581
137	17553
138	12700
139	10059
139	15367
140	13587
140	17076
140	19495
140	21051
141	4013
142	14013
143	7728
143	9999
143	16793
143	17076
143	21873
145	2118
145	13587
145	15234
145	17076
147	10922
148	16310
149	20427
150	14013
151	10461
152	2336
152	8632
152	13861
153	19507
153	23939
154	1076
154	8180
156	3081
157	4013
157	18137
159	21781
159	24062
161	19852
162	9543
163	9910
163	22057
165	2692
165	4002
165	7242
165	13587
165	15234
165	16310
165	20581
171	10102
172	3268
172	5629
172	6383
172	8100
173	1865
174	5845
174	16310
175	14343
176	16310
176	16808
177	3092
177	12966
177	22968
178	17076
179	3605
179	6394
179	12881
179	13826
179	17834
180	10461
180	16310
181	10074
182	14521
183	10461
184	3081
184	16310
185	10461
186	16874
187	11708
187	16836
188	3081
188	8444
188	14166
188	16310
189	4013
189	7019
190	1293
190	6960
191	10461
191	16310
192	15524
193	8709
193	16310
193	16827
194	10461
195	17547
196	17076
197	8131
198	17205
199	4307
199	24213
200	4283
201	7146
201	14041
203	18502
204	9455
205	99
205	265
205	3081
205	6819
205	19326
206	2941
206	16310
206	17076
207	6394
208	17663
208	24011
209	10461
210	3469
210	16310
211	15234
211	17076
212	1966
212	3092
212	6762
213	13965
213	17762
214	99
214	265
214	3081
214	6819
214	19326
215	20660
216	4013
216	12349
217	1951
217	16310
218	17652
219	15888
220	17206
221	3613
221	10019
221	12706
221	14809
221	15450
221	19767
221	20291
222	15234
222	17076
223	22197
223	23657
224	3469
225	760
225	3605
225	6394
225	16183
225	19837
226	16310
227	5150
227	16417
227	17076
227	21055
228	17205
229	18515
230	13757
231	17534
232	3469
233	8469
234	177
234	5620
235	3629
235	21736
236	3605
236	16183
236	18964
236	19837
237	3469
238	16310
238	17076
238	19495
239	8429
240	19852
241	10533
242	10533
243	19852
244	20660
245	16310
246	19852
247	6219
247	6394
248	12397
249	17206
250	4018
251	4108
252	10556
252	14929
253	4002
253	14199
254	16578
255	14195
255	16310
256	17076
257	10927
258	10461
259	3605
259	8429
259	19837
260	9910
261	10461
262	11789
262	15761
263	14013
264	10461
265	19837
265	20224
266	17076
267	17206
268	3081
268	8013
269	10927
270	1428
270	14521
271	19852
272	17076
273	3386
273	16310
274	14195
274	16310
277	10461
277	14929
278	14856
278	22866
279	22268
280	2420
280	6253
280	11154
280	11222
280	11753
280	16310
280	21802
280	21803
281	3469
281	9910
281	16310
282	8857
283	754
283	8712
284	17076
284	21055
285	3469
285	16310
286	16310
287	3469
288	4013
289	6354
290	19808
291	3469
291	16310
292	3469
293	12779
294	4013
295	732
295	2164
295	5995
296	3469
297	12057
297	22267
298	4018
298	7019
299	10461
300	4013
300	16310
301	4108
301	8328
302	1325
302	19495
303	15222
304	10556
305	3605
306	16310
306	23334
307	15222
308	5067
309	3469
310	3605
310	12917
310	23273
311	4013
311	16310
312	4013
312	16310
313	13177
314	17305
315	21781
316	16310
318	3081
318	13096
318	16310
319	11789
319	17076
320	3469
321	10461
322	10972
323	14199
323	15086
324	13868
325	6354
325	16310
326	4002
326	21023
327	10461
328	10461
329	2692
329	15234
329	17076
331	10461
332	10461
333	23390
334	12779
335	17076
337	2692
337	17076
338	2692
338	17076
339	4261
339	6394
339	20224
340	577
340	5134
341	11639
341	11736
342	2692
342	17076
343	2692
343	15234
344	3081
344	8429
344	12876
344	24228
345	16310
347	2692
347	15234
348	10264
349	5005
349	17337
350	9667
350	17933
351	2308
352	9667
352	17933
353	1951
353	14195
353	16310
353	16465
354	2692
354	15234
355	11639
355	11736
356	17076
