user_id	user	name	party_id
0	__juh__	Jan Ulrich Hasecke	5
1	_florianeckert	Florian Eckert	2
2	_G_Baer_	Wilhelm A. Frömgen	5
3	_noujoum	Miriam Seyffarth	5
4	_rmrf	Frank Zimmermann	5
5	_rony	Dennis Deutschkämer	5
6	_scouty	Lisa Rudolf	5
7	_Tharon	Sebastian von Hoff	5
8	_ThWi_	Thomas Winzberg	5
9	0LG12	Oliver Grube	5
10	4ndy63	Andreas Gärtner	5
11	4staradm1ral	Sebastian Czich	5
12	5tee5tee	Heiko Schulze	5
13	688i	Caroline Mahn-Gauseweg	5
14	8undaf	Heide Hagen	5
15	A_Gloeckner	Angelika Glöckner	6
16	a_weinreich	Annette Weinreich	2
17	acepoint	Achim Müller	5
18	Achim_P	Achim Post	6
19	AdianAntilles	Moritz  Rehfeld	5
20	Afelia	Marina Weisband	5
21	AGernegross	Andreas Gernegroß	2
22	AgGunkel	Angelika Gunkel	2
23	agnes1977	Agnes Krumwiede	2
24	AgnesChudy	Agnes Chudy	0
25	AgnesKrumwiede	Agnes Krumwiede	2
26	agnieszka_mdb	Agnieszka Brugger	2
27	ahrendt	Christian Ahrendt	4
28	aktionspirat	Sascha Endlicher	5
29	AleksLessmann	Aleks Lessmann	5
30	alex_nrw	Alexander Ringbeck	2
31	AlexanderDeicke	Alexander Deicke	4
32	AlexanderSNeu	Alexander S. Neu	3
33	alexgaus	Alexander Gaus	2
34	AlexJaegerPirat	Alexander Jäger	5
35	alexwagner_sh	Alexander Wagner	6
36	AliAtalan2	Ali Atalan	3
37	alios	Markus Barenhoff	5
38	Altstadtpirat	Sebastian Harmel	5
39	Alyama1	Lisa Collins	5
40	Andi_nRw	Andreas Rohde	5
41	AndiPopp	Andreas Popp	5
42	AndiScheuer	Andreas Scheuer	1
43	AndreaLindholz	Andrea Lindholz	1
44	Andreas_Bist	Andreas Bist	4
45	andreas_parr	Andreas Parr	6
46	AndreasBergholz	Andreas Bergholz	5
47	AndreaSieber01	Andrea Sieber	2
48	AndreasKassbohm	Andreas Kaßbohm	5
49	AndreasRiegerAr	Andreas Rieger	2
50	AndreFricke	André Patrick  Fricke	3
51	AndrejHunko	Andrej Hunko	3
52	AndrPresse	André Presse	5
53	Andy_1982	Andreas Kröger	6
54	angelaholz	Angela Holz	6
55	angelikanake	Angelika Nake	4
56	anjahajduk	Anja Hajduk	2
57	AnjaKofbinger	Anja Kofbinger	2
58	anjaweisgerber	Anja Weisgerber	1
59	anked	Anke Domscheit-Berg	5
60	AnMittelstaedt	Andreas Mittelstädt	2
61	AnnaGallinaHH	Anna Gallina	2
62	Annette_Groth	Annette Groth	3
63	AnnetteSawade	Annette Sawade	6
64	AnnetteSchavan	Annette Schavan	0
65	Antje_Gesinn	Antje  Gesinn	2
66	Antje_Jansen	Antje Jansen	3
67	antjelezius	Antje Lezius	0
68	APfeilsticker	Arne Pfeilsticker	5
69	Arfst_Wagner	Arfst Wagner	2
70	armin_schuster	Armin Schuster	0
71	ArneLietz	Arne Lietz	6
72	arnoklare	Arno Klare	6
73	Arte_Povera	Lena Rohrbach	5
74	ASabah1	Adnan Sabah	6
75	AstridKlug	Astrid Klug	6
76	Axel_Fischer	Axel Fischer	0
77	Azarus	Martin Hampel	5
78	b_riensch	Bernd Riensch	5
79	BabettesChefin	Sylvia Kotting-Uhl	2
80	BackschafterBo	Christina Worm	5
81	badulrichmartha	Lisa Badum	2
82	baerbelbas	Bärbel Bas	6
83	BaerbelHoehn	Bärbel Höhn	2
84	BaerbelKofler	Bärbel Kofler	6
85	BarbaraHoell	Barbara Höll	3
86	bartosz_lo	Bartosz Lotarewicz	2
87	Baruckpirat	Jürgen Voigt	5
88	BeateWaRo	Beate Walter-Rosenheimer	2
89	beitlich	Sebastian Beitlich	5
90	benjamin_zabel	Benjamin Zabel	6
91	berlinliebich	Stefan Liebich	3
92	BerndBuchholz	Bernd Buchholz	4
93	BerndKasperidus	Bernd Kasperidus	5
94	berndliebhardt	Bernd Liebhardt	1
95	BerndMalmberg	Bernd Malmberg	3
96	BerndSchreiner	Bernd Schreiner	5
97	BerndSiebert	Bernd Siebert	0
98	BernhardKaster	Bernhard Kaster	0
99	BernhardZimmer	Bernhard Zimmer	2
100	bestphal	Bernd Westphal	6
101	BettinaHornhues	Bettina Hornhues	0
102	BHerlitzius	Bettina Herlitzius	2
103	BigArne	Arne Hattendorf	5
104	BijanSarai	Bijan Djir-Sarai	4
105	bim_R	Christian Reidel	5
106	birgit_raab	Birgit Raab	2
107	birgithomburger	Birgit Homburger	4
108	BirgitReinemund	Birgit Reinemund	4
109	Bista100	Bianca Staubitz	5
110	bjoernMaHe	Björn Glienke	5
111	bjoernsaenger	Björn Sänger	4
112	BjSemrau	Björn Niklas Semrau	5
113	bkesper	Beate Kesper	5
114	BlackBuccaneer	Christian Alkemper	5
115	BMemenga	Bernd Memenga	0
116	BoehningB	Bjoern Boehning	6
117	bpwned	Alexander Bock	5
118	brachtbendt	Nicole Bracht-Bendt	4
119	Brainvibes	André Martens	5
120	bridgerdier	Valentin Brückel	5
121	BrigittePothmer	Brigitte Pothmer	2
122	brigittezypries	Brigitte Zypries	6
123	BriHasselmann	Britta Haßelmann	2
124	brk_bewild	Benjamin Wildenauer	5
125	broeskamp	Elisabeth Bröskamp	2
126	brunkhorst	Angelika Brunkhorst	4
127	Brunnerkarl	Karl-Heinz Brunner	6
128	BrunoGertKramm	Bruno Kramm	5
129	BuBernd	Bernd Schlömer	5
130	bueti	Reinhard Bütikofer	2
131	Bugsierine	Stephanie Nöther	5
132	Burgbacher	Ernst Burgbacher	4
133	BurgPirat	Andreas Guckert	5
134	BurmeisterErich	Erich Burmeister	3
135	BWinzen	Benedikt Winzen	6
136	c_h_p_e	Christian Peters	5
137	c_lindner	Christian Lindner	4
138	cad59	Christine Aschenberg-Dugnus	4
139	Caergoa	Peter Klein	5
140	CanselK	Cansel Kiziltepe	6
141	cAPSLOCKcHRIS	Christian Szymanek	5
142	CarenLay	Caren Nicole Lay	3
143	CarolineToenges	Carolin  Tönges	2
144	Carridwen	Mareike Peter	5
145	CarstenKoerber	Carsten Körber	0
146	CarstenMuellers	Carsten Müller	0
147	carstensen_spd	Christian Carstensen	6
148	carstensieling	Carsten Sieling	6
149	cdubrandenstein	Pierre Brandenstein	0
150	CeglarM	Michael Ceglar	5
151	cemozdemir	Cem Özdemir	2
152	ch_buchholz	Christine Buchholz	3
153	ch_dammermann	Christoph Dammermann	4
154	ch_schnurr	Christoph Schnurr	4
155	charlesmhuber49	Charles M. Huber	0
156	Cheatha	Florian Köhler	5
157	ChNissen	Christian Nissen	5
158	ChrisKuehn2013	Chris Kühn	2
159	Christian_B78	Christian Bethke	5
160	ChristianHirte	Christian Hirte	0
161	ChristianThomae	Christian Thomae	5
162	chrstphschmd	Christoph Schmid	5
163	claasrohmeyer	Claas Rohmeyer	0
164	claudi_1412	Claudia  Schumann	5
165	claudiaboegel	Claudia Bögel	4
166	ClaudiaHeber	Claudia Heber	0
167	ClaudiaSuender	Claudia Sünder	6
168	CLuettmann	Christophe Lüttmann	4
169	Colorofthesun	Volker Dyken	5
170	Commodore_Nemo	Matthias Fitzke	5
171	Conni_SH	Cornelia Möhring	3
172	CordulaUngruh	Cordula Ungruh	2
173	CorneliaPieper	Cornelia Pieper	4
174	corneliusdehm	Cornelius  Dehm	2
175	Corny1981	Andreas Bärisch	5
176	crackpille	Benjamin Siggel	5
177	crazy_soeren	Sören Heinze	6
178	d1etpunk	Florian Bokor	5
179	dagmarenkelmann	Dagmar Enkelmann	3
180	danielakolbe	Daniela Kolbe	6
181	danielbahr	Daniel Bahr	4
182	DanielFahr	Daniel Fahr	4
183	DanielMatulla	Daniel Matulla	1
184	DanielMorteza	Daniel  Morteza	3
185	DanielPoznanski	Daniel Poznanski	4
186	darkwindhowling	Alexander Reintzsch	5
187	Dee___Kay	Diemo Krüger	5
188	dennismajewski	Dennis Majewski	4
189	DennisRohde	Dennis Rohde	6
190	derBartsch	Martin Bartsch	5
191	DerFizz	Sven Sladek	5
192	derpecke	Holger Peckmann	5
193	DerRostocker	Steffen Bockhahn	3
194	DerSchamane_	Axel Kerstan	5
195	Detherion	Carmelito Bauer	5
196	detlefebert	Detlef Ebert	4
197	DetlevPilger	Detlev Pilger	6
198	didilust	Dietmar Lust	2
199	Didiman2000	Andreas Neugebauer	5
200	Die_Kati	Katja Falkenbach	5
201	dieAlbsteigerin	Katrin Albsteiger	1
202	DieterStier	Dieter Stier	0
203	Diether_Dehm	Diether Dehm	3
204	digitales_Ich	Alexander Brateanu	5
205	dirk_niebel	Dirk Niebel	4
206	dirkmarx	Dirk Marx	0
207	dirkniebel	Dirk Niebel	4
208	DJanecek	Dieter Janecek	2
209	DKluever	Dennis Klüver	5
210	dlindemann	David Lindemann	6
211	donbuehl	Thomas Büttner	5
212	DoroBaer	Dorothee Bär	1
213	DorotheeMenzner	Dorothée Menzner	3
214	Dr_Bob100	Robert Arnold	5
215	Dr_W_Priesmeier	Wilhelm Priesmeier	6
216	DragosGruene	Dragos Pancescu	2
217	Drahflow	Jens-Wolfhard Schicke-Uffmann	5
218	DrAndreasNick	Andreas Nick	0
219	DrBrunki	Daniel Brunkhorst	6
220	Dreamman72	Frank Steinert	5
221	drgerhardt	Wolfgang Gerhardt	4
222	DrKarstenJung	Karsten Jung	4
223	drmfuchs	Michael Fuchs	0
224	DrNorbertWett	Norbert Wett	0
225	drthomasfeist	Thomas Feist	0
226	DrToniHofreiter	Anton Hofreiter	2
227	DWoehrl	Dagmar Wöhrl	1
228	dyfustic	Nicole Britz	5
229	e_scharfenberg	Elisabeth Scharfenberg	2
230	ebner_sha	Harald Ebner	2
231	EckhardtRehberg	Eckhardt Rehberg	0
232	edrossmann	Ernst Dieter Rossmann	6
233	EgonJuettner	Egon Jüttner	0
234	EhrmannSiggi	Siegmund Ehrmann	6
235	EinAugenschmaus	Julia Probst	5
236	einfachnurmark	Mark Neis	5
237	Eiself	Frank Grenda	5
238	ekindeligoez	Ekin Deligöz	2
239	Ekynos	Heiko  Müller	5
240	Elke_Ferner	Elke Ferner	6
241	elkehoff	Elke Hoff	4
242	EllenDemuth	Ellen Demuth	0
243	elmosylt	Oliver Sippel	5
244	EmanuelKotzian	Emanuel Kotzian	5
245	emtiu	Michael Büker	5
246	ennolenze	Enno Lenze	5
247	ErichvonHofe	Erich von Hofe	2
248	ErikSchweickert	Erik Schweickert	4
249	ernst_klaus	Klaus Ernst	3
250	Erwin_Rueddel	Erwin Rüddel	0
251	Eubuleus	Gerald Albe	5
252	eva_viehoff	Eva Viehoff	2
253	EvaHoegl	Eva Högl	6
254	EvaMariePlonske	Eva Marie Plonske	2
255	evasoellner	Eva Söllner	0
256	evonklaeden	Eckart von Klaeden	0
257	evtl_	René Rottmann	5
258	f_schaeffler	Frank Schäffler	4
259	f60_8	Michael Balke	5
260	Fahrenheit23	Christian Kunze	5
261	FakeChicken69	Lutz Bommel	5
262	faktenkontor	Roland Heintze	0
263	fbernschneider	Florian Bernschneider	4
264	fbrantner	Franziska Brantner	2
265	fdp_gebert	Torsten Gebert	4
266	FDP_Oberberg	Jörg von Polheim	4
267	FealWilde	Fabian Müller	5
268	fegebanks	Katharina Fegebank	2
269	felixccaa	Felix Coeln	5
270	fidelisamica	Sasa Raber	5
271	FilipHeinlein	Filip Heinlein	2
272	flegels	Susann Flegel	5
273	florian_toncar	Florian Toncar	4
274	florian_turm	Ulrich Schumacher	5
275	FlorianHuefner	Florian Hüfner	6
276	FlorianPronold	Florian Pronold	6
277	FlorianZimmeck	Floria Zimmeck	2
278	flosimbeck	Florian Simbeck	6
279	fluxkonzentrat	Walter Weber	5
280	forenwanderer	Thomas Brück	5
281	FOstendorff	Friedrich Ostendorff	2
282	FourtyTwoish	Michael Böhm	5
283	Frank_und_Frei_	Frank Umann	5
284	FrankBuening	Frank Büning	2
285	FrankeEdgar	Edgar Franke	6
286	FrankHeinrich	Frank Heinrich	0
287	FrankSchwabe	Frank Schwabe	6
288	franksteffel	Frank Steffel	0
289	franzthoennes	Franz Thönnes	6
290	FraRoeBer	Frank Roeder	5
291	Frau_Zilla	Nadine  Lindenberg	5
292	FrauMaja	Maja Tiegs	5
293	FreiBastiHeit	Bastian Halbe	5
294	FREIbeuter_	Floyd Kretschmar	5
295	friedrich_csu	Hans-Peter Friedrich	1
296	FSteinwender	Frank Steinwender	2
297	fuchtel	Hans-Joachim Fuchtel	0
298	Fussfall	Stefan Täge	5
299	FuzzyLeapfrog	Claudia  Frick	5
300	g_leonhard	Gino Leonhard	4
301	g_reichenbach	Gerold Reichenbach	6
302	GabiFograscher	Gabi Fograscher	6
303	GabiHillerOhm	Gabriele Hiller-Ohm	6
304	GabiKatzmarek	Gabriele Katzmarek	6
305	GabiWeberSPD	Gabi Weber	6
306	GaDoXX	Gabi Dobusch	6
307	GarreltDuin	Garrelt Duin	6
308	Geisterp31rat	Mario Espenschied	5
309	GeldPirat	Nikolaus Jaroslawsky	5
310	Gene_Hagelstein	Dirk Gene Hagelstein	6
311	GeraldUnger	Gerald Unger	3
312	GerritKoch	Gerrit Koch	4
313	geschehand	Gesche Hand	2
314	Gisela_Piltz	Gisela Piltz	4
315	gkalinka	Gerhard Kalinka	2
316	goalgetter32	Martin Heidingsfelder	5
317	GoeringEckardt	Katrin Göring-Eckardt	2
318	GolzeMdB	Diana Golze	3
319	GotthilfLorch	Gotthilf  Lorch	3
320	GreenClaudia	Claudia Roth	2
321	greenclaudiam	Claudia Müller	2
322	GregorGysi	Gregor Gysi	3
323	GreilichAnnette	Annette Greilich	4
324	grisu226	Frank Thiesen	5
325	groehe	Hermann Gröhe	0
326	gromlix	Holger van Lengerich	5
327	GruenChristian	Christian Franke	2
328	GrueneBeate	Beate Müller-Gemmeke	2
329	gruenler	Kai Grünler	5
330	gudruncita	Gudrun Lux	2
331	gudrunkopp	Gudrun Kopp	4
332	guehrs	Erik Gührs	6
333	guenterbaumann	Günter Baumann	0
334	guentergloser	Günter Gloser	6
335	guenterkrings	Günter Krings	0
336	guidowesterwell	Guido Westerwelle	4
337	GunnarWegener	Gunnar Wegener	6
338	H_Luebbers	Henning Lübbers	5
339	hahnflo	Florian Hahn	1
340	HakanTasBerlin	Hakan Tas	3
341	Halina_Waw	Halina Wawzyniak	3
342	Hamide_Akbayir	Hamide Akbayir	3
343	hammartin73	Martin Böckel	5
344	Hammett125	Horst Josef Walter Grumich	4
345	HanneloreKraft	Hannelore Kraft	6
346	hannesmunzinger	Hannes Munzinger	6
347	HanseNico	Nico Ecke	5
348	hansjoachimotto	Hans-Joachim Otto	4
349	hanskurthill	Hans-Kurt Hill	3
350	HaraldKoch5	Harald Koch	3
