family_i	family_j	weight
RONDINELLI	GUASCONI	1
CASTELLANI	RONDINELLI	1
PERUZZI	CASTELLANI	1
MEDICI	GINORI	3
GINORI	MEDICI	1
GUICCIARDINI	BARONCELLI	1
TORNABUONI	SOLOSMEI	1
ARDINGHELLI	DA UZZANO	1
DA UZZANO	ARDINGHELLI	1
SOLOSMEI	TORNABUONI	1
SOLOSMEI	DELLA CASA	1
RONDINELLI	DELLA CASA	1
RONDINELLI	CASTELLANI	1
GUASCONI	RONDINELLI	1
ALBIZZI	VELLUTI	1
DELLA CASA	SOLOSMEI	1
DELLA CASA	RONDINELLI	1
CASTELLANI	PERUZZI	1
LAMBERTESCHI	VELLUTI	1
BARONCELLI	GUICCIARDINI	1
BARONCELLI	VELLUTI	1
VELLUTI	ALBIZZI	1
VELLUTI	LAMBERTESCHI	1
VELLUTI	BARONCELLI	1
GUASCONI	MEDICI	1
GUICCIARDINI	BENIZZI	1
MEDICI	GUASCONI	2
CASTELLANI	BENIZZI	1
PERUZZI	ALBIZZI	1
BENIZZI	CASTELLANI	1
PERUZZI	ALDOBRANDINI	1
MEDICI	COCCO-DONATI	1
