family_id	family	party	wealth	year	size	numbers_active_medici	numbers_active_oligarch	numbers_active_neutral
0	ALBIZZI	OLIGARCH	49988	1314	5	4	12	0
1	ALDOBRANDINI	OLIGARCH	5403	1306	2	0	2	0
2	ALTOVITI	OLIGARCH	25874	1321	3	1	5	1
3	ARDINGHELLI	OLIGARCH	48364	1297	2	1	2	0
4	BARONCELLI	OLIGARCH	46308	1285	2	0	1	1
5	BENIZZI	OLIGARCH	13047	1292	2	0	2	1
6	BISCHERI	OLIGARCH	39365	1341	2	0	1	1
7	CASTELLANI	OLIGARCH	37118	1301	3	0	6	1
8	COCCO-DONATI	MEDICI	12420	1358	3	4	0	0
9	DA UZZANO	OLIGARCH	48066	1324	2	0	1	1
10	DALL ANTELLA	MEDICI	18957	1291	2	2	2	0
11	DAVANZATI	MEDICI	19887	1320	1	2	0	0
12	DELLA CASA	OLIGARCH	46875	1333	3	1	1	2
13	DIETISALVI	MEDICI	13137	1340	2	3	0	0
14	FIORAVANTI	OLIGARCH	19225	1303	3	1	0	2
15	GINORI	MEDICI	21167	1344	2	11	0	0
16	GUADAGNI	OLIGARCH	25179	1289	1	0	5	0
17	GUASCONI	OLIGARCH	85300	1290	4	5	9	0
18	GUICCIARDINI	MEDICI	40617	1289	5	6	0	0
19	LAMBERTESCHI	OLIGARCH	32388	1330	2	0	3	0
20	MEDICI	MEDICI	82702	1318	3	7	0	0
21	ORLANDINI	MEDICI	8158	1407	2	2	0	0
22	PANCIATICHI	OLIGARCH	64626	1283	3	0	3	0
23	PEPI	OLIGARCH	14367	1360	3	0	2	1
24	PERUZZI	OLIGARCH	50125	1282	3	0	10	1
25	RONDINELLI	OLIGARCH	14529	1299	3	0	5	1
26	RUCELLAI	OLIGARCH	31297	1308	3	0	2	2
27	SCAMBRILLA	OLIGARCH	19640	1382	2	0	2	1
28	SOLOSMEI	OLIGARCH	5757	1364	1	0	2	0
29	STROZZI	OLIGARCH	135765	1305	3	1	4	1
30	TORNABUONI	MEDICI	42840	1303	7	8	1	1
31	VALORI	MEDICI	18921	1334	2	2	0	0
32	VELLUTI	OLIGARCH	14054	1283	2	1	2	0
