family_i	family_j	weight
GUADAGNI	BISCHERI	1
FIORAVANTI	GUADAGNI	1
DALL ANTELLA	GINORI	1
DAVANZATI	ORLANDINI	1
VALORI	COCCO-DONATI	1
GINORI	DIETISALVI	1
GUICCIARDINI	MEDICI	1
MEDICI	TORNABUONI	1
MEDICI	ALBIZZI	1
DA UZZANO	GUASCONI	1
RONDINELLI	GUASCONI	1
GUASCONI	MEDICI	1
GUASCONI	DA UZZANO	1
GUASCONI	STROZZI	1
ALBIZZI	ALTOVITI	1
ALBIZZI	GUASCONI	1
ALBIZZI	PERUZZI	1
DELLA CASA	ALBIZZI	1
CASTELLANI	RONDINELLI	1
CASTELLANI	PEPI	1
CASTELLANI	SCAMBRILLA	1
PERUZZI	GUASCONI	1
PERUZZI	DELLA CASA	1
PERUZZI	CASTELLANI	1
PERUZZI	PANCIATICHI	1
BENIZZI	STROZZI	1
STROZZI	PERUZZI	1
STROZZI	PANCIATICHI	1
STROZZI	RUCELLAI	1
PANCIATICHI	ALBIZZI	1
